banana elephant dog apple gorilla dog banana,mwPEaSXlJvCBgXFw,"b""\xcdm\xd2\xd3\xa9\xcd,\xc73V \xc1\x1a\xdb\x90&\xb0\xac\xf9\x1a}=?o\x82\x82\xf1z\x9e'\x07\xcfY\xdfOt\xbb\x07^\xbe\x95\xc7o}""",ARC4
jaguar cat apple dog horse elephant dog iguana,xxYEsqwDttVOgcPX,"b'\xb9F\xd8\xd4_\x995\x9a\x9e\xed\xa9o(\x8d\xb3R""q,&\xd8\xf1\xd3\xda\xd9\x18]\xd5\xc1\xcc\xfd\x90\xc3\xe3\xf2\xa7\xf6\xb7|\xb2\x84ms&\xa5\x0eq\x0e'",AES
jaguar cat apple dog horse elephant dog iguana,xxYEsqwDttVOgcPX,b'9@:3\xb8@\xb6\x91\xf40\xf2\xf4\xbd\xb9\xdc\x15W\xb7\xa6\xf7\x18=&\x13\xcb\xa4\x97\xb9\x1ee\xb7\xdd\x06\xaa\xc5\xecA\n\x01\xd6j\x94\x85l\x97\xec\x9f ',DES
jaguar cat apple dog horse elephant dog iguana,xxYEsqwDttVOgcPX,"b""xG\x0bEZh\x89\x90\xb5~\x8c\tK2\xb3\xf2\x8c\x84\xcf\xbbp\x8bz\xfc\xdd\x9e\xf9\r\x1f\xde\x8a'\xb7\x17\xff0\xfb\x8c\x00F\xe4\xf8S\x85\xeav""",ARC4
iguana apple iguana elephant,PGWldXTuUWvUhNkI,"b':\xf4\x88$\xc1l\x9f\x91\xea\xeb\x02\xf0\xad\xb6\xf1\x8a\x9c\xd1o\xe2Z\xcem\r\xf1;\xa8""\xc4N\xc8l'",AES
iguana apple iguana elephant,PGWldXTuUWvUhNkI,b'\xc4\xcc\xe0\x8a&\xee\xa8\xc4\x1d\x15\xe3\xd3\xdb\x1e\xa1\xb3\xcf\xba\xbb\x80^\x99\x91x\xe7\x99q/\x86\xbc<\xb3',DES
iguana apple iguana elephant,PGWldXTuUWvUhNkI,b'\xed\xf3o^\x01\xf5\xe6\x1e\xc7\xda\x9a!\x9e9\xc8\x82e\x8e\xfb\xcf\xfaa\xf6\xd0\xa4z\xd9k',ARC4
iguana apple elephant banana iguana horse banana,JjRHieMjfztwvODt,"b'\xebfP\x04x\xbd:\x15\x1bR\xda\x93\x952\x93\x08\x07\x06@:\xba{5\x18Jd5!\x1e\xc9\x94|C""4F*\xaa\xd7&4\xc1#\xdc\xe8\x8d\x16\xb3\x89C\x92\xd9\xde$n\x15\xfevB\x02P\x06\xdb\x90'",AES
iguana apple elephant banana iguana horse banana,JjRHieMjfztwvODt,b'\x83\x1e\xd1\x13\x82)(\x89\x80\x82\x08h\x9a\x1f\x7fi!t\xfaB\xc9s\x07\x9d\xcd\xee\xc5\xa3}\xef\xbfB-\xa0\xa6p\xf3\xc2\xb9\xc4\x85\x1c \xec\x8d\xf6\x06\xb9\xfd\x17K\x91\x16\xa15j',DES
iguana apple elephant banana iguana horse banana,JjRHieMjfztwvODt,"b""%\xdb\x89i\xd9\xa4cW\xe2<\xa4\xd2\x1cp[\xf4\xeb]\x97\x1f\xf4\xd6\xa5\x84S\x90ICNH\x8a\x0ei2\x7f\x01\x99X'\xb0\xd7\xff\xc9\xcd$\xbfR\x00""",ARC4
jaguar gorilla iguana,zoPYmEriCQpvxcGt,b'~A\x1bz@\x9c0:L\x13\xab\xb6\xd2\x8c\xdbj\xe1\xa6\xe9\xb1\xafW3*\xfao!\x05k<\xa7\xde',AES
jaguar gorilla iguana,zoPYmEriCQpvxcGt,b'\xa8`\xa1\x1d\x0c\xc7\x0b\xa8\x05\xd1\xc5\xfap\xca\x9f\x17\xf5S\x84\xa8Z\xc5\xb2\xe9',DES
jaguar gorilla iguana,zoPYmEriCQpvxcGt,b'Kj\x9b\xf2\xf8\x13e \xf6\xb8!\x81.z\xf7<\xf7j%f*',ARC4
elephant gorilla apple apple elephant horse gorilla banana,nYHfDWuTgqTJoXqd,b'\xf2\t\xe1y+j\xc6\x8eZ\x94\xdd\xa7\x80\xaeh\xc5k\xf7y\xc0\xfdE\x9e\x94\x10\x08\x12J\xb4\xdf\xc6\x90K\xda\x96P\xd41v\xe1\x8dF\x92\x7feswj\xa3\xda~\xf6nE\xfa\x8cye\x90w\x9e\x10\xc4\xd7',AES
elephant gorilla apple apple elephant horse gorilla banana,nYHfDWuTgqTJoXqd,"b'\xc2\x19\x8b\xda\x16u!\'Xe\x12u\xed\xee\x8e\'\xb9r\xbe{_]\x85\x96\xb3:\x0e}\x06\xf3\x9a\xfe\x16\xc7@\xf5\x00\xb1|j\x18\xf1\xc3\xe9\x8dG\x9a\x9a\xa2EZ""\xb5\xbag\xbc\xfdAX:>\xb4\xe0^'",DES
elephant gorilla apple apple elephant horse gorilla banana,nYHfDWuTgqTJoXqd,"b'\xef\xabA\xa0\x04G\xb1\xf7\xf3\xd4%e""\x16\x11\xfa:\xc2\xdd\xe6\x91\rJ\xf9\x10\x10y\xed=\xa6\xd7=t\x1b\xc7T\xb0\x91\xd2\x15\x11*~\x02(\x9e\xda\x98\x97\t%Tm\xa8\xb6\xb90\x9a'",ARC4
apple horse gorilla apple iguana,LeqAuzEqKBsxLzMo,"b'\x14\xca_\xdb\xf9L\xf5Y<j(\x82\x1a\xfc\xa4\x07\xbb\x0c\xe9\x81e\xd6\x86&IW\xe8C\x98\xde""\x11\xa3H\x0e1\x06q\xeaAUY\xdb\xe9\r\xa9\xf2\x90'",AES
apple horse gorilla apple iguana,LeqAuzEqKBsxLzMo,b'\xc1\xcdc|QENVj\xa0\x927\t\x06\xe61}\x13\x15\xc7\xe0)US\xd3xYc:\xf9j\x19v\xf0H\x95q\xdd^\xce',DES
apple horse gorilla apple iguana,LeqAuzEqKBsxLzMo,"b""\xb8n\x03*@\xd5$\x07\x82\xd2\xc9u\xcbt\x96B\x86\xef\xc0\xf4k\xf0k\xcer\xc7\xad|\t&'\xdf""",ARC4
iguana elephant dog elephant banana dog iguana banana,UvlFzmmnokpebTaC,b'p\x1bn\xbf~g\x84\xc3\x0b\xdc\x93\xee\x13nf]\xbc@7\xc5\x04y\x8b\x89\xd5\xd3\xf8\x83\xc3\x98\xa3^=?\x85\xce\x07\xf8\x88<H~\xf4\x00\xd2r\x07\x8d\xe8/\xd6}\xb6\xcf*{\x13\x9a\x19\xf69r\nd',AES
iguana elephant dog elephant banana dog iguana banana,UvlFzmmnokpebTaC,"b""\x81i!\x11\xe8\x84\x81\x911\xae\xbaW\x8c\xb3\x8c\r\xda\xf1u^\x9e\x9c\xc7\x10\xf6\xe1\xa9=\xec\x91\xb0b\x9d\xfb\xdc\xd9\x14[\xcc\x97\x0f{s*=\x94B,\xe0\xae\xea\x01\xfa'{=""",DES
iguana elephant dog elephant banana dog iguana banana,UvlFzmmnokpebTaC,b'5\xa0S\xc8C~jw\x8a\xc6#\xef2#\xe2L\xfa\x0e_\x83cL\xca\x8c-\x06\x17yK\x16\x12\x97\xf5\x08\xec\x90NF\xc4\xa86\xcd H\xa8\x84\x0c\xb6\x89\x8a\xc0\x01V',ARC4
elephant gorilla elephant banana fox banana,CSGUyoFUylMrOxIG,"b'~\xa0\x8f\xb5k\x06ox\xdf,\x86\x83;\xd0\x9c\x1b\x87Yx3ew\xdfEU\xc4\xf3\x90\xd1\xc2\xfb\x18\xe4\x0fe\xdf!N6\xbf\xa2?~\xc2\xd0X>\x13'",AES
elephant gorilla elephant banana fox banana,CSGUyoFUylMrOxIG,"b'\x0b\xef< \x88\x9e\xf1bu w\xef\xe6\xbe\x96\xef`w\xcd\xbc/\x9eE\x90\xfa\x8a,&\xa9\xec7\xa8C\x08\xc2\xb0R\x15:U\x01\x14\x0fz\x06*O\x9e'",DES
elephant gorilla elephant banana fox banana,CSGUyoFUylMrOxIG,b'l\x03\xc2\xfd\x9f#\xc4\xa4\x01y\x8fl\x05b\x80\xf2v9+d\xf0l\xdc\x1c\xff7\xd8?@]\x11\x0e\xc8\xc9\xf4\x9b\xbc#\xf8\x86.\xd5\x91',ARC4
jaguar gorilla elephant apple dog jaguar,MssJPMxBXfinFlBL,b'\xf7\xa3\x9f2Z|\xf8@t)\xfa`\xea\xb5\xb5\xa1J\x14\x1aR\x1fE\xa1l.wwa\xeaV\x15\xd6Z\xdb\xaa\xf3\x91\xba\x8a\x00t\xe2<rN\xac\xf4\xc7',AES
jaguar gorilla elephant apple dog jaguar,MssJPMxBXfinFlBL,"b""\x89b\x15\x8eL\xffw\x0f4\xf1(\xe4U'h\xdb\x8c\x97\xe8\x89\xb7\x93'\x9b\x0e\x91\x9c\xfd\x90\x10\xa01\x9fjuL\x07\\\x84]3\xb0B?\xe1S\x0e\xaf""",DES
jaguar gorilla elephant apple dog jaguar,MssJPMxBXfinFlBL,"b""Fg\xc7\xf8\x87\xbd\xe3\xc9Y\x94\x19\xc9\xc1'K\x7f\x11\x1e \xa8f\xed\x99\xfe\x03\x91\xf0I}v\xeb\xae6\xb7\x16\xc8\xb0\x7f\xa8\x0f""",ARC4
cat elephant horse fox,trchDbCFJVDLUurM,b'\x7f\x0f\xb3d\xdb\x9b\xdb\xe2(\xf3\x0f\x040\xa0\x10\x0c\xc3i@C\x18\xec\xa3g\xb8\xd42\xceL\xe2\xac\xf8',AES
cat elephant horse fox,trchDbCFJVDLUurM,b'\x12\x12\xb3\xb3\xc4\x0c^\x90\xd5\xfc-\xc1=\xaa@\x8eZQ+\x19\xe7\x87\x0f\x80',DES
cat elephant horse fox,trchDbCFJVDLUurM,b'\xde\xb4\x98\xd7.s\x8a\x1a\xff\xc4\xc9\x96SL&`\xb7\xe9\xb1\x0c\xdf8',ARC4
fox gorilla elephant horse,fkxDJfUGXBYLdOSA,b'\x15\xcd\xd7\xbe\xea\xbb\xcf$\xe8u\x8d\x8dL\xeej&\x10\xcd\xd7B>\xd3mO[\x94\xe2f\xd2;\xf5\x1e',AES
fox gorilla elephant horse,fkxDJfUGXBYLdOSA,b'\x1f\xadg\xbc\x04$O]J\x0b\xf5\xdd\xb4+\xc9dJ\xa9\xd0X\xfa\xd1\xae\xe0\xb6\x9d\xb5.\xe0\x0c\xab\xcb',DES
fox gorilla elephant horse,fkxDJfUGXBYLdOSA,b'a\xf2\xf5\xafj\xf83\xa3f\xa3\xda\x01C\xca\xcc\x9d\xd6A\x12\xc2\x8e\x0b\xf6\xcarK',ARC4
jaguar banana iguana gorilla cat,kTiisSnexEuPtZOA,"b""\xdd\xaf\xc8c\x8b\xa8\x8a8\x83l\xb3\x92\x10\xfed*\xa2\xc4\x01:\xc14i\xf1\x04\x84KZ\xfa\xa9'\x08\x8e\x0c\xb0\x8e\xf9\xa5\xe3\xa9$6p\xf8E\xf5\x99(""",AES
jaguar banana iguana gorilla cat,kTiisSnexEuPtZOA,b'\xe4\x90\xfa\x00\xdf\x06\x8a\xc5\xf4\xf4\x00\xb6\x8d\xc2\x06a\x9e\x83\x1dy\x1b\nh\xde\xbe6\xf5\x02>\x0en\x1a\xcc\xaar\xeew5:Z',DES
jaguar banana iguana gorilla cat,kTiisSnexEuPtZOA,b'AK-\xff\x81;f:U\xfc[\xb9\x98\x02\xd6\xa9\x02/\xad \xe6\xaf\xac4\xf4\x14z\xa9\xfb1\xf7\xde',ARC4
fox apple elephant horse,dEQkRjsWRPLijdhZ,b'\xbb\x9c&\xce\xc0KTy\x1a\xca\xf9\xeb\x94@\x84\x1e\x96j/%\xb0\x17\xda)\xfa\xeaf\xf0\xfd\x1a\xb2\xc0',AES
fox apple elephant horse,dEQkRjsWRPLijdhZ,b'\xaa4\xd4\xed\xb3\xc8\xbe\xe0<d\xa5\x1e\xd5Jp\xac+\xf3\xa5M\x96$-\xb9\xf1rh\xea=\x90\x84\xc6',DES
fox apple elephant horse,dEQkRjsWRPLijdhZ,"b'\xd7\xd8\xb9\x9d""\xb5\x05\xd8\xf0\xd20A\xe1\x82gM\x97\x85B\xc1\xcbY$%'",ARC4
horse banana elephant,YKFjxxGoZopmOAqO,b'\xca\x96\xe8\\T\xdc\xb4s\xd4\xcc\x0b\x8f\xaa\xecl}\xf0\x02\x1a\xed\xd9\xb4\x07\xac\xff@Fk\x87\n\xac\xb0',AES
horse banana elephant,YKFjxxGoZopmOAqO,b'\xde\xc5\xa0dZj\xf7\xe6\xc8\x8d\xf2\x96\x1b\x83(\x08\xe6\xc7H\xcf\xc7\xb9\x90z',DES
horse banana elephant,YKFjxxGoZopmOAqO,b'\x0f\xdbKS\xb1\x14@\x01\x97\xbc\xe6\x03Py\xb4\xc2\xd0\xc8x\xf4R',ARC4
cat apple banana elephant dog elephant apple banana,vyrcOmAKTEyayAKX,b'\xbb\x80\xfa%\xbc\x15\xbbjd\x90\xd4\xbb\x1b\xa5\xb1\xee\x0e\x86\x96n\xcb\rX\x95\xd9\x8b\x7f\x0c\x8d\x04\x8cu\xc0\xe3[;?\xe9\xd49\x03\xb4T\x03\x99\x15\x08\x19\x16Pl\x9d\x89\\\xc3\x92[D\x91\xccd\xc29\x9e',AES
cat apple banana elephant dog elephant apple banana,vyrcOmAKTEyayAKX,"b""0N\xa7;\xbd\x7f_\xd4\x9f\x17:zG\xc5A\x86M\x12\x1a2G\xc7HI\xa2\xd2d,\x8eD\xe2\x18\\\xbavMA\x99\xd6';m\xd78\xbe\x95\x8da\x91c8s\xd8\xea\xfa\xe3""",DES
cat apple banana elephant dog elephant apple banana,vyrcOmAKTEyayAKX,"b'z\x8csE\x9a\xd4QZ\xe2i\x80#\x04\x94\xa5\xb0\x00,4\xff\xc8\x0b\x89\xd0\x02\xf8\x15\xfa\x13L\xe3f<\xc3\xfc\xc1\xefe\xca\xa1\xa8\xffO\xc6\x92\xa9Cx\xd6\x00\xfc'",ARC4
banana jaguar banana fox apple apple,OwxldDmWowaoBOcH,"b""9\xde\x84\xef\x8a0\xbeS\xf5li\x8a\x01N^\xc6v \xc3\x95\xa8\x03\xcb\xe6'\x0b\x0c\x1e\xda\xf0\xb6\x92\x1d4\x95\x85J\xe7\x16\xd3\x83|\n\xe2\xe8\xf3\xfa$""",AES
banana jaguar banana fox apple apple,OwxldDmWowaoBOcH,b'(\x9aQ\x87\x03N)m\x85\xfc[\xba\xb7p\xc2\x019k\xd5\xab6\x19\x9f\xbe\r=xt p\xdd\x8c\r\xe5$\xb7\xb9\xcavA',DES
banana jaguar banana fox apple apple,OwxldDmWowaoBOcH,b'X\xcdsf\xdc\xe1\x01\xb0\x9d\x8c{\xb4\xb0 \xfe\xab\xa8\xabr\xde\x86K\xceRt\x1d\xd2\xdc=yYR\xc9\xdc\xc7\xeb',ARC4
horse gorilla jaguar banana iguana banana,hrZGqhHieFanghvt,"b'\xd7\xca\x83\xb8\x82\xce\xfa\n/\xd1\xdc\x05\x18\xd1\xd3\xb9J\x02\x05R\xe7\x1f\x9f\x9f\xcb\xc8K\x0b(\x85\x9d)D\xcd\t\x84\xb5\xf9\xc9V\x03\x08\x14N"" s}'",AES
horse gorilla jaguar banana iguana banana,hrZGqhHieFanghvt,b'H_\x10\xdd>\x8d\xe6]\xc4Q\x06\xa0q\x0f W\xd9\xfb\x9b\xc4\xcd\x15=\x9dUvnEl\x1cM\x18\xd5Lib=P\xdc\x86\xf0\xf5\xd3x\x93l\x8d\xa0',DES
horse gorilla jaguar banana iguana banana,hrZGqhHieFanghvt,"b'\xa5\xd3\x05\x8c!-\x9a\x83\xf0d\x86\xb2""\x83\x17\xd3^\x1e\xf3\xa7\x96W5 \xdf4lmL\xf7c(=\xa2\\K\xd77g\x99\xb6'",ARC4
jaguar jaguar fox iguana iguana,YaKOxokwjWmOwbWE,b'\xd8\x93\t\xee\x15\xeeyF\xcbx\xb3h\xbdr\xc7\xebG {\x03\x80\xd5\x17\x0e\x81\xf5c\xde_Cf\xe0',AES
jaguar jaguar fox iguana iguana,YaKOxokwjWmOwbWE,b'\x13w\xe1\x19\xde\xcc\xfd_\x1d\x12^\xf4\x86\x15Cu\x18WE\x0c\xb0\xb9\x07R\x91(\x12\x1e::\xd8X',DES
jaguar jaguar fox iguana iguana,YaKOxokwjWmOwbWE,"b'\xceT\x11\xec$\x915j\x901][\xf8\x08\xbd\x0e\x16&\xa87\x86NG\xca""\x8bR\xb9\xba\xe0\x12'",ARC4
apple elephant dog elephant iguana apple,EoLgPOcwqFXzouGT,"b""B\xe8*\x9d9>\xda\xf4g\xba\xfd\xbb8\x03zc\x9e\x7f\xb9\x0b\xd9-*y\xae/B\xc8\xa2.\x08pRe'\x19\xe2\x1e\x1e\xfc\xdb\xa8\xe1\x8e\x15\xca):""",AES
apple elephant dog elephant iguana apple,EoLgPOcwqFXzouGT,b'\xd0q\x9e\xc4\x00\x9c\x91St\xf0\x05ZN\xfe\xe1\xeeZ\x99\x8e\xdb2B\xf7/b\xc5\xc5\xee\xe5\xca\x9e\xb4j1\xf8N)\x8aas\xab6\xe0\xc6\xa7\x10a\x0b',DES
apple elephant dog elephant iguana apple,EoLgPOcwqFXzouGT,"b""\x04O\x8e\xde\x0e\xf8]U\x95\xad7<LPAG\x1d\xad\x8c\x12\xb4v\xb2\xc2\xf7\x83^\x0e\xe6\x81u\x19\xf1\xc6\xd2'iA\xe3G""",ARC4
gorilla apple banana,NejXpiVRTyURLlmz,"b'\xce\xad!~\x96\xd3\x88k\xb6\xa0\xc9,?""\xfb\xd5UI\x03\x8fL\xc7%\xf3\xea""Bp\xcd\xba/f'",AES
gorilla apple banana,NejXpiVRTyURLlmz,b'V\xce<\xf4\xc0\xce\xad=v|\x043\x8919\n\xf5 \xbf2\x0b\x08)\x10',DES
gorilla apple banana,NejXpiVRTyURLlmz,b'/4\xfd\xe9\x98\x1d\x82N\xa6\xa1sGF\x00bN\xef\xca~\x19',ARC4
jaguar apple fox banana fox jaguar gorilla,mMmoxqZyKCyTXYvm,"b'0Zic\xbfnt\xed\xbe\x1f\xbbX\x8cA\xc9\xea\x13P\x1bp\x91qJ\x9e\xbe5\xe0\x14dx\x9bG\xcc\x15\xc2\x1cI\xc2\x18\x10J\x9a\x1f\xa0\x8e\xb0\xc3,'",AES
jaguar apple fox banana fox jaguar gorilla,mMmoxqZyKCyTXYvm,b'>\x7f\xaf\xed\x01\xe2\xa9\xef%\x8f\x929\x8f$>\x11\nHL\xdb\xdc\t\x84\x90\xa6\xc9\xce\xdfC\xa40\x0e\x9a(\xe7J34\x90\xf6\xa7\xfc+b\xe2\x7f\xf1\x9b',DES
jaguar apple fox banana fox jaguar gorilla,mMmoxqZyKCyTXYvm,"b'\x14\x913\x86\xd4\x93\xbb""\x0cV8\xe2\xaf\xaa\xdd/G\x87J\xbd\xca&o[9\x80\xe8t8\x12\xd7\xb7Rp\x07\x14\x82i\x8d5\x96\xa0'",ARC4
jaguar dog apple apple,acdnlMiWYGuJtiLh,"b'\xd7d\xa0c8\x91\x1f\x89\x15\x89\xdf,\x0c/#\xc8\xc4\xfe,o\xa9\x9e\xa3\xca\xf7\x1f\xc5\xcb\x1a\xdd\r\xb5'",AES
jaguar dog apple apple,acdnlMiWYGuJtiLh,"b""5l%`\xae\xd3\x08T\xd7\x8b\xca\xc0Huc\x0c\xa9\x95\xe6\xe5\xd2'L\xed""",DES
jaguar dog apple apple,acdnlMiWYGuJtiLh,b'\xf6\xd1\xd1P3\xf1y\xf6\xf9\xa5w\xc7\xca\xd8U\x15\xd8\xe8\x93j\x0c\x83',ARC4
elephant elephant cat horse banana apple,wLamvEwQLACOtDON,"b'_\x17\x1d\x98""\xf9\xc5\x1d\xc6\xb0\xe3\xdd\xb3\x16Dy|\x14lC\xf7\x96\xf21\xca\xc1\xe5S\xe1$\xc5\x8c\x12\x9a\xb1\xb1\xbd\xf9(\xa7\x0e$0\x8cR\x94a\xaa'",AES
elephant elephant cat horse banana apple,wLamvEwQLACOtDON,b'\xd0mra\x80$v=\xbd\x82\xd8\x8e\x04\xd0\xbd\xf2\x18\x87\xbf\x17\xf7&\xba\xcb\x11\x9c\xd8\xff\x84\xa7\xdf\x9e*\xdd\x97e\xd8\xbf\xd9\xc9\xd4t\xd3~e4\xb2r',DES
elephant elephant cat horse banana apple,wLamvEwQLACOtDON,b'\xa5)\xeb\xd8\x18E\x95\xc1vQ\xfc\xae]u\xdb\xa7\xb0\xd9F\xd5\x9fjv\xe7J\xfa\xf1\x9f\x002\x8b\x12\xc7\xdd\xc1\xf9\x9431\xef',ARC4
jaguar dog horse gorilla banana elephant dog apple,rKADIpMqdeEBLLtI,b'-mM\xea\x15ib\xe6K\x17\xa8L\xa2\xbc\xcd\x16\xb8;\xbb\xafQ\xdb\xda.\xe8\x87\x15\x8b!E\x12~s\xa1\x91VZ\xe3\x14z\x82.LB\xdc>\xcc<1\xba\xae\x85c\xd78\x88\x86\xb6%\xe5\xde\t\x04v',AES
jaguar dog horse gorilla banana elephant dog apple,rKADIpMqdeEBLLtI,"b'\x9f\x0b\xf2\xc3\xfa5\xe8\x18\xf5\x87\xa7\xf8`\xec\x0e6^\xd6B\x13,+\x9b\x14\xc8Zj\xa8\xf0}\x08{\xf1<\xd0J\x15T\xd0\xae\xa1Sv\t\xd7\x0e\xf7bg\xcf\xd9!\x7fw7N'",DES
jaguar dog horse gorilla banana elephant dog apple,rKADIpMqdeEBLLtI,b'\xecb\xb7p\xa5\xf7\\\xa8p7\xed\xc2\xf6\xd4\t\xa3\xd2\x9d\xeft\xa66\x97\xa5\xa0\x9f=DF[\xc6\x9a\x9d\x80\xbe\xa2O\xae\x8e\x97\xdf\x98\xf8W=-k\x80\x18L',ARC4
apple apple gorilla fox cat elephant elephant banana,yWqfaWQAyVXNjSDY,"b'm\xc2\x86\x15H\xe09\xe6j\xc90v\x17\x1a}u}f\x0f=\x97\xccsv\x85g>ydv:\x93)!.gDq.\x06\xb8\xc7\xf3\xdf\xec,\x0e}\xde\xc3 j\x14\x96\xd9\xdaYX\xf5\xb0\xbaA\x06\x95'",AES
apple apple gorilla fox cat elephant elephant banana,yWqfaWQAyVXNjSDY,b'\xb5\xa6\xd8\x19\x81\x80\xf4\xda\xcbs\x10M9\xeaBJ\xb3M\xfb\xdb\xec9\x192\xbdL\xc6%\xe1\xc8\x1f\xfb3\x7f\n\x7f\xe7\x9c\xe7wC\xe1\x81RjDB\x81J\xc4g\xaeY\xf9\xa7\x1c',DES
apple apple gorilla fox cat elephant elephant banana,yWqfaWQAyVXNjSDY,b'i\x1b\xaa\x12\xf3\xf0\xb7\xafB0\xb2G~A\xfb\xbae+\xe7\xf1\xc2@\xf1P\x8b\x0b\x84S\\\xa4>o\xfe\xcbfU\xad\x0f\x9cO\xfe\x18\xd9\xb7\xdb\xd1\xa7\xd1\xd1\xb2\xb3\xf8',ARC4
dog banana dog cat cat gorilla cat,gvbKcklwjWPyvjju,"b'3T\x90\x9f\xd3k\x83\xe9\xb2\x9b\x03r\xe1\xbd\x16m\x9a(U\xef&\xdfO\xf6\xffPc\x92\xcf\xba\xe5\r|5,\x9c^5\x8e}\xd3\xbe4\xf7|\xd8\t\xc1'",AES
dog banana dog cat cat gorilla cat,gvbKcklwjWPyvjju,"b';\x95""?E\xf4D\x91\xd6\x8d\x143\xd2Kq\xc6^,\x04>\x16\xf1\xc8\x05\x1fi!\xbd\x1b:\x1f+\x00B\x80@L\xd8\xe5s'",DES
dog banana dog cat cat gorilla cat,gvbKcklwjWPyvjju,"b'\xe7\xa0\xcez\xcd\x1e\xe5\x8d\x89J\x04\x85\xfd\x10\xce\xa6O\xd2n\xb2\x8fi?\xa3""b\xfc\x83+1_\r\xc0\\'",ARC4
jaguar elephant elephant horse cat cat,rRriGzaSxHuZGbGQ,"b'>\x82\x9b\x95\xf5\x8a""\xfb\x95\xaf+\x9b\x96H\x97\xdfPw\x83l/>as\xa3uf\xf2\xd4\xe7\xa9\x91vMH{\xf0\x8b+\xad`\xddU1\x0f\x952c'",AES
jaguar elephant elephant horse cat cat,rRriGzaSxHuZGbGQ,"b'\xb6\xcb\xb4\xae\xf7\xdd}\xcd\xc1\x08\xbb\xbb\x84\xdf\xe6\xd9M\xa6\xe05\x11\x93\\\xd0\xb6,\x96\xc74\xb5\x02\xc7O<\x0f\x88\x98g\xc2\xf0'",DES
jaguar elephant elephant horse cat cat,rRriGzaSxHuZGbGQ,"b""t\xb3\x95\xa0r;\xfa\xff\xe8\th\x8f\x13M-\x0c\xddn\xa5}p\x9f\x92'\x1cDs\x18C\x85e\xde\xec\x13\xad\xf3C\xfe""",ARC4
